"Id";"Name";"State";"SubscriptionId";"TenantId";"CurrentStorageAccountName";"ExtendedProperties";"CurrentStorageAccount"
"c6a381df-37d5-4ada-88f8-980ffa910617";"TEG_Retail_EU-ISU";"Enabled";"c6a381df-37d5-4ada-88f8-980ffa910617";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"a7b93006-e666-47c5-865e-64dafdd48a13";"Next Best Action Framework ? Azure - AutoML";"Enabled";"a7b93006-e666-47c5-865e-64dafdd48a13";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"8daecdd8-c59d-41ad-8d6b-9250c5f2810a";"HOBBS_POC";"Enabled";"8daecdd8-c59d-41ad-8d6b-9250c5f2810a";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"2df03f37-b344-4fda-92c6-90c685491a72";"Magnum";"Enabled";"2df03f37-b344-4fda-92c6-90c685491a72";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"f670a0be-bafc-42f4-8a9c-ff578f797475";"Ecolab_US";"Enabled";"f670a0be-bafc-42f4-8a9c-ff578f797475";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"84e97e04-30fc-4cd9-a023-e0a47784051c";"Mastercraft_DataPlus_POC";"Enabled";"84e97e04-30fc-4cd9-a023-e0a47784051c";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"d10ed262-782f-406e-9d1f-f170a367b43c";"AXA_POC_Belgium";"Enabled";"d10ed262-782f-406e-9d1f-f170a367b43c";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"079d165a-80b0-4f76-9129-f0fabe014e0d";"Internal - Retail BG - Architecture & Technology";"Enabled";"079d165a-80b0-4f76-9129-f0fabe014e0d";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"b69577c4-1497-4a74-a5cb-1db6b363324e";"AI Builder - Innovation Garage";"Enabled";"b69577c4-1497-4a74-a5cb-1db6b363324e";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"a465aded-b965-4d43-8104-a2956c69e252";"BonsAI";"Enabled";"a465aded-b965-4d43-8104-a2956c69e252";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"f0e800b9-b753-41d6-bc7a-f87b6084672c";"Optumera_SaaS_POC";"Enabled";"f0e800b9-b753-41d6-bc7a-f87b6084672c";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"089d00af-2279-466b-b0b7-b7bb6977ab11";"TCS DAEzMo Report Migrator";"Enabled";"089d00af-2279-466b-b0b7-b7bb6977ab11";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"7ca0d311-ad70-4772-957a-0b504cb94e10";"KPMG_ContentMetadataMngt";"Enabled";"7ca0d311-ad70-4772-957a-0b504cb94e10";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"849b9311-5a6d-4ccf-b2ed-e7226aa1893a";"MasterCraft_TransformPlus_POC";"Enabled";"849b9311-5a6d-4ccf-b2ed-e7226aa1893a";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"ed8c6893-5c6a-4e16-bc7a-9ea60f5d6eb9";"HOBS";"Enabled";"ed8c6893-5c6a-4e16-bc7a-9ea60f5d6eb9";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"df78f825-6990-44d4-a228-1f579284c1f6";"Trinseo LLC";"Enabled";"df78f825-6990-44d4-a228-1f579284c1f6";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"a21704d0-b990-41dc-ad82-de67f3129d26";"CIBC-Migration POC";"Enabled";"a21704d0-b990-41dc-ad82-de67f3129d26";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"9a9c56e1-d7b4-4912-8a86-df16b6993c55";"AXA_Belgium_POC";"Enabled";"9a9c56e1-d7b4-4912-8a86-df16b6993c55";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"f84245ba-06a4-4bff-b02a-f1b6f757440f";"MBU Azure Practice";"Enabled";"f84245ba-06a4-4bff-b02a-f1b6f757440f";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
"778e4959-9bf1-42c3-b4d7-4d8d3e0700e8";"Corporate Talent Development";"Enabled";"778e4959-9bf1-42c3-b4d7-4d8d3e0700e8";"3c8ea0e4-127c-4a02-ac65-58830e4ac608";;"System.Collections.Generic.Dictionary`2[System.String,System.String]";
